Product_name, Pricing, Ratings
Redmi 9 Prime (Space Blue| 64 GB),Rs.9499,4.484,474
Redmi 9 Prime (Mint Green| 64 GB),Rs.9499,4.484,474
Redmi 9 Prime (Sunrise Flare| 64 GB),Rs.9499,4.484,474
Redmi 8A Dual (Midnight Grey| 32 GB),Rs.6999,4.344,497
Redmi 8A Dual (Sky White| 32 GB),Rs.6999,4.344,497
Redmi 9 (Sky Blue| 64 GB),Rs.9076,4.210,609
Redmi Note 9 (Pebble Grey| 64 GB),Rs.11358,4.318,715
Redmi Note 9 (Shadow Black| 128 GB),Rs.13386,4.318,715
Redmi Note 9 (Scarlet Red| 64 GB),Rs.13499,4.318,715
Redmi 9A (Midnight Black| 32 GB),Rs.7229,4.36,731
Mi Wall Charger Accessory Combo for Xiaomi| Mi all models| Mi note 7 pro| Redmi note 5 pro,Rs.299,3.9159
Redmi 9A (SeaBlue| 32 GB),Rs.7249,4.36,731
Redmi 9A (Nature Green| 32 GB),Rs.7804,4.34,090
Redmi 9A (Sea Blue| 32 GB),Rs.7993,4.34,090
Redmi 9A (Midnight Black| 32 GB),Rs.7980,4.34,090
Redmi 9A (Nature Green| 32 GB),Rs.7425,4.36,731
Redmi Note 9 (Arctic White| 64 GB),Rs.11947,4.318,715
Redmi 9 Prime (Space Blue| 128 GB),Rs.12999,4.484,474
Redmi Note 9 (Scarlet Red| 128 GB),Rs.13900,4.318,715
Redmi 8A Dual (Sea Blue| 32 GB),Rs.7849,4.344,497
Redmi 8A Dual (Sea Blue| 64 GB),Rs.9445,4.213,136
Mi 3i 20000 mAh Power Bank (Fast Charging| 18W),Rs.1499,4.363,300
Redmi 9 (Sporty Orange| 64 GB),Rs.9080,4.210,609
Redmi 9 Prime (Mint Green| 128 GB),Rs.11898,4.484,474
Redmi Note 9 (Aqua Green| 64 GB),Rs.11467,4.318,715
Redmi 8A Dual (Midnight Grey| 32 GB),Rs.8448,4.213,136
Mi 10i (Midnight Black| 128 GB),Rs.24875,4.3824
Redmi 8A Dual (Sky White| 32 GB),Rs.8999,4.213,136
Redmi 9 (Sky Blue| 128 GB),Rs.10287,4.210,609
Redmi Note 9 (Arctic White| 128 GB),Rs.14785,4.32,861
Redmi Note 9 (Scarlet Red| 128 GB),Rs.14975,4.32,861
Redmi Note 9 (Pebble Grey| 128 GB),Rs.13389,4.318,715
Mi 3i 10000 mAh Power Bank (Fast Charging| 18W),Rs.899,4.378,166
Mi 10i (Pacific Sunrise| 128 GB),Rs.26999,4.3366
Redmi Note 9 Pro (Interstellar Black| 64 GB),Rs.13995,4.419,393
Redmi Note 9 Pro (Aurora Blue| 64 GB),Rs.14983,4.419,393
Redmi 8A (Ocean Blue| 32 GB),Rs.7999,4.31,35,315
Redmi Note 9 Pro (Interstellar Black| 128 GB),Rs.14385,4.419,393
Redmi Note 9 Pro (Interstellar Black| 128 GB),Rs.17800,4.41,370
Redmi Note 9 Pro (Champagne Gold| 128 GB),Rs.14995,4.419,393
